Date,RTS,Brent
1998-10-01,41.18,14.46
1998-10-02,38.81,14.21
1998-10-05,38.53,14.1
1998-10-06,41.05,13.98
1998-10-07,42.94,13.88
1998-10-08,41.35,13.23
1998-10-09,42.55,12.87
1998-10-12,44.75,13.18
1998-10-13,47.67,12.73
1998-10-14,51.89,12.26
1998-10-15,58.73,11.98
1998-10-16,55.32,12.11
1998-10-19,55.91,11.6
1998-10-20,56.68,11.29
1998-10-21,61.94,11.94
1998-10-22,60.96,11.68
1998-10-23,60.42,12.18
1998-10-26,59.54,12.74
1998-10-27,56.89,12.46
1998-10-28,53.54,12.26
1998-10-29,55.39,12.31
1998-10-30,57.54,12.0
1998-11-02,58.38,12.43
1998-11-03,59.36,11.93
1998-11-04,61.07,11.88
1998-11-05,60.38,11.73
1998-11-06,61.13,11.51
1998-11-10,60.67,11.18
1998-11-11,60.76,11.45
1998-11-12,60.53,11.56
1998-11-13,59.32,11.46
1998-11-16,59.55,11.1
1998-11-17,60.02,10.62
1998-11-18,59.76,10.25
1998-11-19,60.04,10.45
1998-11-20,63.36,10.4
1998-11-23,70.13,10.54
1998-11-24,70.85,10.58
1998-11-25,69.15,10.51
1998-11-26,72.0,10.41
1998-11-27,71.57,10.77
1998-11-30,71.46,9.91
1998-12-01,67.74,9.87
1998-12-02,68.07,9.71
1998-12-03,65.38,10.05
1998-12-04,64.0,9.73
1998-12-07,63.32,9.7
1998-12-08,60.44,9.68
1998-12-09,58.71,9.46
1998-12-10,60.95,9.1
1998-12-11,58.67,9.26
1998-12-15,58.79,9.57
1998-12-16,60.95,10.87
1998-12-17,60.42,9.92
1998-12-18,59.24,9.62
1998-12-21,60.25,9.45
1998-12-22,60.16,9.83
1998-12-23,60.44,9.91
1998-12-24,60.11,9.91
1998-12-29,59.68,10.23
1998-12-30,59.39,10.45
1998-12-31,58.93,10.54
1999-01-05,59.7,10.3
1999-01-06,61.27,10.67
1999-01-11,61.35,12.07
1999-01-12,60.17,11.78
1999-01-13,55.64,10.9
1999-01-14,56.94,11.1
1999-01-15,55.4,10.97
1999-01-18,55.71,10.81
1999-01-19,56.1,11.19
1999-01-20,56.99,10.85
1999-01-21,57.59,11.14
1999-01-22,55.68,11.23
1999-01-25,55.6,11.21
1999-01-26,55.55,10.84
1999-01-27,55.03,11.03
1999-01-28,54.49,11.14
1999-01-29,55.12,11.34
1999-02-01,55.09,10.81
1999-02-02,55.14,10.39
1999-02-03,55.3,10.78
1999-02-04,55.96,10.42
1999-02-05,55.69,10.18
1999-02-08,56.6,9.97
1999-02-09,58.94,9.77
1999-02-10,62.98,9.88
1999-02-11,67.53,9.82
1999-02-12,65.16,9.97
1999-02-16,65.6,9.98
1999-02-17,65.79,10.09
1999-02-18,66.52,9.93
1999-02-19,70.22,10.29
1999-02-22,75.4,10.24
1999-02-23,73.93,10.58
1999-02-24,75.5,10.64
1999-02-25,71.36,10.84
1999-02-26,70.03,10.58
1999-03-01,73.5,10.52
1999-03-02,76.07,10.41
1999-03-03,73.33,10.81
1999-03-04,70.93,11.2
1999-03-05,72.61,11.02
1999-03-09,73.71,11.25
1999-03-10,76.52,11.46
1999-03-11,82.24,11.86
1999-03-12,82.98,12.3
1999-03-15,83.84,12.17
1999-03-16,86.63,12.11
1999-03-17,90.02,12.95
1999-03-18,84.53,13.35
1999-03-19,85.7,13.15
1999-03-22,81.98,13.37
1999-03-23,80.96,13.64
1999-03-24,76.82,13.37
1999-03-25,80.65,13.5
1999-03-26,79.94,13.97
1999-03-29,79.85,14.34
1999-03-30,81.18,14.5
1999-03-31,80.36,15.02
1999-04-01,78.7,14.6
1999-04-06,75.51,14.53
1999-04-07,72.98,14.14
1999-04-08,70.9,13.72
1999-04-09,66.88,14.11
1999-04-12,68.59,14.23
1999-04-13,69.15,14.68
1999-04-14,73.57,14.45
1999-04-15,75.68,14.82
1999-04-16,79.59,15.34
1999-04-19,81.1,16.01
1999-04-20,76.58,16.04
1999-04-21,76.91,15.96
1999-04-22,80.33,16.29
1999-04-23,82.83,16.07
1999-04-26,83.92,15.63
1999-04-27,83.72,15.91
1999-04-28,81.47,16.38
1999-04-29,87.16,16.53
1999-04-30,91.83,16.45
1999-05-05,102.69,16.85
1999-05-06,104.67,16.44
1999-05-07,100.97,15.66
1999-05-11,97.11,15.23
1999-05-12,81.39,14.74
1999-05-13,83.58,15.21
1999-05-14,82.58,15.18
1999-05-17,92.13,14.98
1999-05-18,99.15,14.43
1999-05-19,98.23,14.42
1999-05-20,98.49,14.44
1999-05-21,98.16,14.49
1999-05-24,101.6,14.83
1999-05-25,98.62,14.71
1999-05-26,99.9,15.18
1999-05-27,100.32,15.04
1999-05-28,99.1,14.75
1999-06-01,96.76,14.22
1999-06-02,94.18,14.28
1999-06-03,99.7,14.26
1999-06-04,100.27,15.21
1999-06-07,102.72,15.98
1999-06-08,106.4,16.25
1999-06-09,107.47,16.19
1999-06-10,110.66,15.99
1999-06-11,113.86,16.25
1999-06-15,112.77,16.33
1999-06-16,117.72,16.29
1999-06-17,117.57,16.0
1999-06-18,121.13,15.93
1999-06-21,129.28,15.64
1999-06-22,129.83,15.91
1999-06-23,125.5,16.04
1999-06-24,126.12,16.28
1999-06-25,123.06,16.27
1999-06-28,122.8,16.27
1999-06-29,123.9,16.38
1999-06-30,125.65,16.97
1999-07-01,131.48,17.25
1999-07-02,133.67,17.55
1999-07-06,146.61,18.47
1999-07-07,144.27,18.36
1999-07-08,147.37,18.74
1999-07-09,144.0,18.9
1999-07-12,141.92,18.94
1999-07-13,137.26,19.49
1999-07-14,141.31,19.48
1999-07-15,139.13,18.9
1999-07-16,137.83,19.42
1999-07-19,133.65,19.75
1999-07-20,130.67,19.33
1999-07-21,127.13,18.62
1999-07-22,128.85,19.01
1999-07-23,127.34,19.69
1999-07-26,126.64,19.73
1999-07-27,125.18,19.46
1999-07-28,123.66,19.65
1999-07-29,114.54,19.97
1999-07-30,116.49,19.97
1999-08-02,115.77,19.21
1999-08-03,114.47,19.32
1999-08-04,105.46,19.38
1999-08-05,101.34,19.64
1999-08-06,103.15,19.66
1999-08-09,101.72,19.34
1999-08-10,102.42,20.18
1999-08-11,102.78,20.58
1999-08-12,104.87,20.32
1999-08-13,103.11,20.61
1999-08-16,103.96,20.68
1999-08-17,104.59,20.61
1999-08-18,104.87,20.69
1999-08-19,105.83,20.92
1999-08-20,109.09,21.11
1999-08-23,116.85,20.96
1999-08-24,115.75,20.48
1999-08-25,115.44,19.71
1999-08-26,111.12,19.8
1999-08-27,107.73,20.32
1999-08-31,102.5,21.08
1999-09-01,102.95,21.1
1999-09-02,101.6,20.66
1999-09-03,104.13,20.74
1999-09-06,104.91,21.14
1999-09-07,104.69,21.71
1999-09-08,101.65,21.96
1999-09-09,101.17,22.51
1999-09-10,103.84,22.36
1999-09-13,97.13,22.98
1999-09-14,95.41,23.18
1999-09-15,92.77,23.25
1999-09-16,87.53,23.06
1999-09-17,84.58,22.93
1999-09-20,80.54,22.85
1999-09-21,76.15,22.68
1999-09-22,80.14,22.49
1999-09-23,84.94,23.41
1999-09-24,84.2,23.66
1999-09-27,87.67,23.6
1999-09-28,86.51,23.24
1999-09-29,85.15,23.46
1999-09-30,83.12,22.98
1999-10-01,84.5,22.98
1999-10-04,86.65,23.3
1999-10-05,88.42,22.64
1999-10-06,88.16,23.07
1999-10-07,89.34,22.33
1999-10-08,93.31,20.78
1999-10-11,97.19,20.84
1999-10-12,96.25,21.89
1999-10-13,96.03,22.26
1999-10-14,100.31,22.28
1999-10-15,95.1,21.65
1999-10-18,94.19,22.26
1999-10-19,96.46,21.59
1999-10-20,98.39,21.02
1999-10-21,95.85,21.68
1999-10-22,98.2,22.38
1999-10-25,97.11,22.45
1999-10-26,97.93,22.14
1999-10-27,97.02,22.18
1999-10-28,97.63,21.22
1999-10-29,97.8,21.11
1999-11-01,97.25,21.32
1999-11-02,97.82,21.98
1999-11-03,95.5,22.38
1999-11-04,96.48,22.64
1999-11-05,99.83,22.8
1999-11-09,106.01,24.44
1999-11-10,110.98,25.42
1999-11-11,113.03,24.96
1999-11-12,111.56,25.39
1999-11-15,112.87,25.93
1999-11-16,115.32,24.88
1999-11-17,116.08,24.98
1999-11-18,113.9,25.02
1999-11-19,118.26,25.14
1999-11-22,120.92,25.86
1999-11-23,124.91,25.66
1999-11-24,119.5,25.77
1999-11-25,120.06,25.94
1999-11-26,119.75,25.85
1999-11-29,116.64,25.67
1999-11-30,112.36,25.2
1999-12-01,113.41,24.2
1999-12-02,114.75,25.52
1999-12-03,118.17,26.17
1999-12-06,118.15,26.46
1999-12-07,113.14,26.1
1999-12-08,110.45,25.45
1999-12-09,110.36,25.85
1999-12-10,107.57,24.86
1999-12-14,109.03,24.88
1999-12-15,118.03,25.68
1999-12-16,118.46,26.09
1999-12-17,120.21,26.22
1999-12-20,132.17,25.98
1999-12-21,142.67,25.51
1999-12-22,146.06,25.04
1999-12-23,147.29,25.11
1999-12-29,147.28,25.63
1999-12-30,150.01,24.93
2000-01-05,179.01,23.72
2000-01-06,185.52,23.55
2000-01-10,192.25,22.77
2000-01-11,182.33,23.93
2000-01-12,189.2,24.62
2000-01-13,195.86,24.9
2000-01-14,202.71,25.5
2000-01-17,197.91,25.99
2000-01-18,194.58,26.31
2000-01-19,183.63,26.17
2000-01-20,192.16,26.26
2000-01-21,202.14,27.18
2000-01-24,194.51,27.02
2000-01-25,183.76,27.24
2000-01-26,182.3,27.18
2000-01-27,188.47,26.91
2000-01-28,181.84,26.59
2000-01-31,172.31,27.08
2000-02-01,171.29,27.35
2000-02-02,168.92,27.15
2000-02-03,173.23,27.6
2000-02-04,178.39,27.48
2000-02-07,178.13,27.94
2000-02-08,186.25,27.61
2000-02-09,193.24,27.44
